NAME,PATH,DESCRIPTION
ANALYZE,/usr/local/bin/ANALYZE,ANALYZE(7) - collect statistics about a database
RESET,/usr/bin/RESET,RESET(7) - restore the value of a run-time parameter to the default value
affcat,/usr/local/bin/affcat,affcat(1) - Output contents of an image file to stdout
affcompare,/usr/local/bin/affcompare,affcompare(1) - compare the contents of an ISO file to an AFF file
affconvert,/usr/local/bin/affconvert,affconvert(1) - convert files between RAW and AFF formats
affcopy,/usr/local/bin/affcopy,affcopy(1) - reorder and recompress AFF files
affcrypto,/usr/local/bin/affcrypto,affcrypto(1) - handle encryption issues
affdiskprint,/usr/local/bin/affdiskprint,affdiskprint(1) - create a diskprint AFF structure
affinfo,/usr/local/bin/affinfo,affinfo(1) - print information about an AFF file
affix,/usr/local/bin/affix,affix(1) - fix a corrupted AFF file
affrecover,/usr/local/bin/affrecover,affrecover(1) - recover broken pages of an AFF file
affsegment,/usr/local/bin/affsegment,affsegment(1) - segment manipulation tool
affsign,/usr/local/bin/affsign,affsign(1) - sign an existing AFF file
affstats,/usr/local/bin/affstats,affstats(1) - print specific statistics about one or more AFF files
affuse,/usr/local/bin/affuse,affuse(1) - provide access to AFF containers
affverify,/usr/local/bin/affverify,affverify(1) - verify the digital signature on a signed file
affxml,/usr/local/bin/affxml,affxml(1) - print AFF information as XML
asn1Coding,/usr/local/bin/asn1Coding,asn1Coding(1) - ASN.1 DER encoder
asn1Decoding,/usr/local/bin/asn1Decoding,asn1Decoding(1) - ASN.1 DER decoder
asn1Parser,/usr/local/bin/asn1Parser,asn1Parser(1) - ASN.1 syntax tree generator for libtasn1
augmatch,/usr/local/bin/augmatch,augmatch(1) - inspect and match contents of configuration files
augparse,/usr/local/bin/augparse,augparse(1) - execute an Augeas module
augtool,/usr/local/bin/augtool,augtool(1) - inspect and modify configuration files
blkcalc,/usr/local/bin/blkcalc,blkcalc(1) - Converts between unallocated disk unit numbers and regular disk unit numbers
blkcat,/usr/local/bin/blkcat,blkcat(1) - Display the contents of file system data unit in a disk image
blkls,/usr/local/bin/blkls,blkls(1) - List or output file system data units
blkstat,/usr/local/bin/blkstat,blkstat(1) - Display details of a file system data unit (i.e. block or sector)
brew,/usr/local/bin/brew,brew(1) - The missing package manager for macOS
chronic,/usr/local/bin/chronic,chronic(1) - runs a command quietly unless it fails
cjpeg,/usr/local/bin/cjpeg,cjpeg(1) - compress an image file to a JPEG file
clusterdb,/usr/local/bin/clusterdb,clusterdb(1) - cluster a PostgreSQL database
combine,/usr/local/bin/combine,combine(1) - combine sets of lines from two files using boolean operations
createdb,/usr/local/bin/createdb,createdb(1) - create a new PostgreSQL database
createuser,/usr/local/bin/createuser,createuser(1) - define a new PostgreSQL user account
cwebp,/usr/local/bin/cwebp,cwebp(1) - compress an image file to a WebP file
danetool,/usr/local/bin/danetool,"danetool(1), *[B-Font]danetool(1) - GnuTLS DANE tool"
djpeg,/usr/local/bin/djpeg,djpeg(1) - decompress a JPEG file to an image file
dltest,/usr/local/bin/dltest,dltest(1) - A simple library symbol test
dropdb,/usr/local/bin/dropdb,dropdb(1) - remove a PostgreSQL database
dropuser,/usr/local/bin/dropuser,dropuser(1) - remove a PostgreSQL user account
dwebp,/usr/local/bin/dwebp,dwebp(1) - decompress a WebP file to an image file
ecpg,/usr/local/bin/ecpg,ecpg(1) - embedded SQL C preprocessor
errno,/usr/local/bin/errno,errno(1) - look up errno names and descriptions
ewfacquire,/usr/local/bin/ewfacquire,ewfacquire(1) - acquires data in the EWF format
ewfacquirestream,/usr/local/bin/ewfacquirestream,ewfacquirestream(1) - acquires data in the EWF format from stdin
ewfexport,/usr/local/bin/ewfexport,ewfexport(1) - exports media data stored in EWF files
ewfinfo,/usr/local/bin/ewfinfo,ewfinfo(1) - show meta data stored in EWF files
ewfmount,/usr/local/bin/ewfmount,ewfmount(1) - mount data stored in EWF files
ewfrecover,/usr/local/bin/ewfrecover,ewfrecover(1) - exports media data stored in EWF files
ewfverify,/usr/local/bin/ewfverify,ewfverify(1) - verifies media data stored in EWF files
fax2ps,/usr/local/bin/fax2ps,fax2ps(1) - convert a TIFF facsimile to compressed (tm
fax2tiff,/usr/local/bin/fax2tiff,fax2tiff(1) - create a TIFF Class F fax file from raw fax data
fc-cache,/usr/local/bin/fc-cache,fc-cache(1) - build font information cache files
fc-cat,/usr/local/bin/fc-cat,fc-cat(1) - read font information cache files
fc-conflist,/usr/local/bin/fc-conflist,fc-conflist(1) - Show the ruleset files information on the system
fc-list,/usr/local/bin/fc-list,fc-list(1) - list available fonts
fc-match,/usr/local/bin/fc-match,fc-match(1) - match available fonts
fc-pattern,/usr/local/bin/fc-pattern,fc-pattern(1) - parse and show pattern
fc-query,/usr/local/bin/fc-query,fc-query(1) - query font files
fc-scan,/usr/local/bin/fc-scan,fc-scan(1) - scan font files or directories
fc-validate,/usr/local/bin/fc-validate,fc-validate(1) - validate font files
fcat,/usr/local/bin/fcat,fcat(1) - Output the contents of a file based on its name
fdupes,/usr/local/bin/fdupes,fdupes(1) - finds duplicate files in a given set of directories
ffind,/usr/local/bin/ffind,ffind(1) - Finds the name of the file or directory using a given inode
ffmpeg,/usr/local/bin/ffmpeg,ffmpeg(1) - ffmpeg video converter
ffmpegthumbnailer,/usr/local/bin/ffmpegthumbnailer,ffmpegthumbnailer(1) - fast and lightweight video thumbnailer
ffplay,/usr/local/bin/ffplay,ffplay(1) - FFplay media player
ffprobe,/usr/local/bin/ffprobe,ffprobe(1) - ffprobe media prober
flac,/usr/local/bin/flac,flac(1) - Free Lossless Audio Codec
fls,/usr/local/bin/fls,fls(1) - List file and directory names in a disk image
freetype-config,/usr/local/bin/freetype-config,freetype-config(1) - Get information about a libfreetype installation
fsstat,/usr/local/bin/fsstat,fsstat(1) - Display general details of a file system
gdbm_dump,/usr/local/bin/gdbm_dump,gdbm_dump(1) - dump a GDBM database to a file
gdbm_load,/usr/local/bin/gdbm_load,gdbm_load(1) - re-create a GDBM database from a dump file
gdbmtool,/usr/local/bin/gdbmtool,gdbmtool(1) - examine and modify a GDBM database
glibtool,/usr/local/bin/glibtool,"glibtool(1), libtool(1) - manual page for libtool 2.4.5.7-408c"
glibtoolize,/usr/local/bin/glibtoolize,"glibtoolize(1), libtoolize(1) - manual page for libtoolize 2.4.4.19-fda4"
gnutls-certtool,/usr/local/bin/gnutls-certtool,"gnutls-certtool(1), *[B-Font]certtool(1) - GnuTLS certificate tool"
gnutls-cli,/usr/local/bin/gnutls-cli,"gnutls-cli(1), *[B-Font]gnutls-cli(1) - GnuTLS client"
gnutls-cli-debug,/usr/local/bin/gnutls-cli-debug,"gnutls-cli-debug(1), *[B-Font]gnutls-cli-debug(1) - GnuTLS debug client"
gnutls-serv,/usr/local/bin/gnutls-serv,"gnutls-serv(1), *[B-Font]gnutls-serv(1) - GnuTLS server"
gpgrt-config,/usr/local/bin/gpgrt-config,gpgrt-config(1) - Script to get information about the installed version of libgpg-error
hfind,/usr/local/bin/hfind,hfind(1) - Lookup a hash value in a hash database
htop,/usr/local/bin/htop,htop(1) - interactive process viewer
hunspell,/usr/local/bin/hunspell,"hunspell(1) - spell checker, stemmer and morphological analyzer"
hunspell,/usr/local/bin/hunspell,"hunspell(3) - spell checking, stemming, morphological generation and analysis"
hunspell,/usr/local/bin/hunspell,hunspell(5) - format of Hunspell dictionaries and affix files
hunzip,/usr/local/bin/hunzip,hunzip(1) - compress and encrypt dictionary files
hunzip,/usr/local/bin/hunzip,hunzip(1) - decompress and decrypt hzip files to the standard output
icat,/usr/local/bin/icat,icat(1) - Output the contents of a file based on its inode number
ifdata,/usr/local/bin/ifdata,ifdata(1) - get network interface info without parsing ifconfig output
ifind,/usr/local/bin/ifind,ifind(1) - Find the meta-data structure that has allocated a given disk unit or file name
ifne,/usr/local/bin/ifne,ifne(1) - Run command if the standard input is not empty
ils,/usr/local/bin/ils,ils(1) - List inode information
img2webp,/usr/local/bin/img2webp,img2webp(1) - create animated WebP file from a sequence of input images
img_cat,/usr/local/bin/img_cat,img_cat(1) - Output contents of an image file
img_stat,/usr/local/bin/img_stat,img_stat(1) - Display details of an image file
initdb,/usr/local/bin/initdb,initdb(1) - create a new PostgreSQL database cluster
isql,/usr/local/bin/isql,"isql(1), iusql(1) - unixODBC command-line interactive SQL tool"
istat,/usr/local/bin/istat,istat(1) - Display details of a meta-data structure (i.e. inode)
isutf8,/usr/local/bin/isutf8,isutf8(1) - check whether files are valid UTF-8
jcat,/usr/local/bin/jcat,jcat(1) - Show the contents of a block in the file system journal
jls,/usr/local/bin/jls,jls(1) - List the contents of a file system journal
jpegtran,/usr/local/bin/jpegtran,jpegtran(1) - lossless transformation of JPEG files
jpgicc,/usr/local/bin/jpgicc,jpgicc(1) - little cms ICC profile applier for JPEG
jq,/usr/local/bin/jq,jq(1) - Command-line JSON processor
jtool,/usr/local/bin/jtool,"jtool(1) - object file display, manipulation, and reverse-engineering tool"
lame,/usr/local/bin/lame,lame(1) - create mp3 audio files
lckdo,/usr/local/bin/lckdo,lckdo(1) - run a program with a lock held
lpass,/usr/local/bin/lpass,lpass(1) - command line interface for LastPass
