family_name,family_number,family_disc
AF_UNIX,0,local to host (pipes)
AF_INET,2,"internetwork: UDP,TCP,etc"
AF_IMPLINK,3,arpanet imp addresses
AF_PUP,4,pup protocols: e.g. BSP
AF_CHAOS,5,mit CHAOS protocols
AF_NS,6,XEROX NS protocols
AF_ISO,7,ISO protocols
AF_ECMA,8,European computer manufacturers
AF_DATAKIT,9,datakit protocols
AF_CCITT,10,CCITT protocols  X.25 etc
AF_SNA,11,IBM SNA
AF_DECnet,12,DECnet
AF_DLI,13,DEC Direct data link interface
AF_LAT,14,LAT
AF_HYLINK,15,NSC Hyperchannel
AF_APPLETALK,16,Apple Talk
AF_ROUTE,17,Internal Routing Protocol
AF_LINK,18,Link layer interface
pseudo_AF_XTP,19,eXpress Transfer Protocol (no AF)
AF_COIP,20,connection-oriented IP  aka ST II
AF_CNT,21,Computer Network Technology
pseudo_AF_RTIP,22,Help Identify RTIP packets
AF_IPX,23,Novell Internet Protocol
AF_SIP,24,Simple Internet Protocol
pseudo_AF_PIP,25,Help Identify PIP packets
AF_INET6,26,IPv6
AF_NDRV,27,Network Driver 'raw' access
AF_ISDN,28,Integrated Services Digital Network
pseudo_AF_KEY,29,Internal key-management function
AF_INET6,30,IPv6
AF_NATM,31,native ATM access
AF_SYSTEM,32,Kernel event messages
AF_NETBIOS,33,NetBIOS
AF_PPP,34,PPP communication protocol
AF_RESERVED_36,36,Reserved for internal usage
AF_IEEE80211,37,IEEE 802.11 protocol
AF_UTUN,38,none
AF_MAX,40,none
